Frame,TimeMs
0,8.5111
1,3.5615
2,1.9706
3,7.1927
4,1.5723
5,16.7659
6,31.9972
7,14.9467
8,16.2188
9,2.0445
10,13.5486
11,16.0017
12,16.2321
13,15.2859
14,14.9654
15,15.5822
16,15.8131
17,30.716
18,32.0591
19,2.6785
20,12.3934
21,14.7717
22,16.0241
23,14.0568
24,2.8717
25,12.9047
26,13.1196
27,15.5987
28,14.1574
29,14.6373
30,14.5178
31,14.8333
32,14.4993
33,15.2577
34,14.6251
35,14.7779
36,15.1496
37,14.7798
38,15.1053
39,14.8237
40,14.6503
41,15.3753
42,15.0364
43,14.5773
44,14.6512
45,14.9015
46,14.7539
47,8.524799
48,4.562
49,4.5467
50,5.3674
51,4.735
52,5.48
53,5.327
54,4.4403
55,5.5364
56,4.5157
57,4.9151
58,4.7855
59,5.6851
60,4.5579
61,5.0565
62,4.6473
63,5.5261
64,4.5759
65,5.3059
66,4.8152
67,5.3023
68,4.3369
69,5.1983
70,5.0143
71,4.9456
72,5.048
73,4.8357
74,5.1491
75,4.9158
76,5.2798
77,6.0676
78,3.7265
79,5.1744
80,5.4241
81,4.5074
82,5.0509
83,4.7874
84,5.2815
85,5.125
86,4.8071
87,4.9161
88,4.8828
89,5.5268
90,4.6104
91,5.1566
92,4.5884
93,5.0795
94,4.7896
95,5.2828
96,4.7159
97,5.1718
98,4.9909
99,5.2344
100,4.7102
101,4.9151
102,5.2038
103,5.3168
104,4.4638
105,5.322
106,4.6899
107,4.8318
108,5.8842
109,4.424
110,4.7587
111,4.8648
112,5.0394
113,4.9141
114,5.0908
115,5.2076
116,4.8454
117,4.7211
118,5.389
119,5.0281
120,5.0725
121,4.9561
122,4.7245
123,5.0046
124,4.7768
125,11.7379
126,14.8223
127,15.4317
128,14.7399
129,14.5114
130,15.0857
131,14.5483
132,15.2393
133,14.8092
134,15.2684
135,14.9293
136,15.3075
137,14.0326
138,15.5582
139,14.4995
140,15.4546
141,14.4607
142,14.94
143,14.9162
144,15.3796
145,16.284
146,14.1407
147,14.6744
148,15.457
149,14.1275
150,15.7845
151,14.4929
152,15.3457
153,13.5928
154,15.9126
155,14.2352
156,14.7631
157,14.9805
158,15.0935
159,15.1497
160,14.925
161,15.1774
162,14.741
163,14.7466
164,14.7316
165,15.4858
166,14.2855
167,15.6327
168,14.8742
169,15.174
170,14.7354
171,15.3901
172,14.9878
173,14.8454
174,14.8375
175,14.7394
176,16.0199
177,14.0999
178,14.7155
179,15.0768
180,14.5175
181,15.0731
182,14.541
183,14.9421
184,14.7639
185,15.3026
186,14.6068
187,16.2034
188,13.7237
189,16.1308
190,13.7576
191,15.4342
192,14.6857
193,14.7598
194,14.4294
195,15.3121
196,15.1999
197,14.7011
198,14.982
199,15.2293
200,14.4665
201,14.7226
202,14.7177
203,15.3179
204,14.5188
205,15.1247
206,14.7406
207,16.054
208,14.3282
209,14.9123
210,14.5601
211,14.6752
212,15.0385
213,14.9919
214,14.5589
215,14.3761
216,15.5179
217,14.0557
218,15.7179
219,14.9471
220,14.8192
221,14.5479
222,15.1529
223,15.158
224,15.0927
225,15.23
226,14.0305
227,14.9022
228,15.3752
229,14.606
230,15.0111
231,14.6529
232,15.1506
233,14.6234
234,14.9752
235,14.9299
236,15.6751
237,13.6919
238,15.7738
239,14.3551
240,15.2364
241,14.9014
242,15.4049
243,14.6677
244,14.8352
245,15.7968
246,14.6768
247,14.3721
248,15.8231
249,14.0651
250,15.1046
251,14.9893
252,14.9677
253,14.3968
254,15.424
255,14.2587
256,15.2294
257,14.5811
258,15.7068
259,14.1341
260,16.4877
261,13.1111
262,15.2101
263,14.7291
264,15.0841
265,15.1816
266,14.3155
267,14.89
268,14.7727
269,15.1863
270,14.3621
271,14.7314
272,15.1851
273,14.883
274,14.9183
275,14.7055
276,14.6405
277,15.2997
278,15.2073
279,14.8043
280,15.2088
281,14.9946
282,14.2828
283,15.0177
284,14.7774
285,14.923
286,14.8458
287,15.3244
288,17.519
289,12.6311
290,14.4955
291,15.3537
292,14.0502
293,14.6691
294,15.1245
295,15.2284
296,14.9638
297,14.7114
298,14.6107
299,14.8655
300,14.8825
301,14.8139
302,15.02
303,14.6893
304,14.6307
305,14.7953
306,14.7131
307,15.3646
308,14.8331
309,15.1669
310,15.1238
311,13.9007
312,15.2295
313,15.581
314,14.288
315,14.5063
316,14.7786
317,15.0073
318,14.7716
319,14.8721
320,15.0667
321,14.3263
322,14.9482
323,14.7347
324,15.1206
325,14.8741
326,15.0187
327,14.8258
328,14.8976
329,14.6147
330,15.1206
331,14.7657
332,15.0792
333,15.0684
334,14.3397
335,15.174
336,14.5221
337,14.9121
338,15.0079
339,14.7818
340,15.295
341,14.7875
342,15.3405
343,14.3217
344,14.6061
345,14.9588
346,15.6893
347,13.8939
348,14.7716
349,15.0393
350,15.0253
351,14.6196
352,14.6176
353,14.9048
354,14.7758
355,14.9952
356,14.5289
357,15.4305
358,14.2106
359,15.2218
360,14.5772
361,15.0555
362,14.374
363,14.8109
364,14.7834
365,14.9541
366,15.4162
367,15.2518
368,14.7955
369,14.6893
370,14.4968
371,14.9213
372,15.0118
373,14.2858
374,15.2726
375,14.8199
376,14.6864
377,15.0695
378,14.5103
379,15.1518
380,14.7271
381,15.1211
382,14.8937
383,14.5925
384,14.8241
385,15.4823
386,14.3875
387,14.6899
388,15.0825
389,14.7952
390,14.8295
391,14.8098
392,15.0128
393,14.5812
394,15.1683
395,14.7619
396,14.7626
397,14.5948
398,15.1539
399,14.9605
400,14.8855
401,15.1184
402,14.4722
403,15.6228
404,14.1569
405,14.7982
406,14.8127
407,15.1351
408,14.9914
409,14.627
410,15.2942
411,14.5858
412,14.6995
413,15.2129
414,14.8698
415,14.8796
416,14.854
417,14.6625
418,14.7872
419,14.9102
420,15.2632
421,14.674
422,14.8647
423,15.0881
424,14.4409
425,14.8852
426,15.1561
427,14.987
428,14.1067
429,14.9922
430,14.6173
431,15.4056
432,14.3515
433,15.2711
434,14.2643
435,14.9152
436,14.8391
437,15.0499
438,14.921
439,14.4286
440,14.8088
441,15.126
442,15.028
443,14.8993
444,15.0985
445,15.0503
446,14.7341
447,14.1977
448,15.4394
449,14.4766
450,14.8103
451,14.8968
452,14.911
453,15.4077
454,14.4071
455,15.1505
456,14.5918
457,15.6462
458,14.165
459,14.737
460,15.0966
461,14.432
462,15.4307
463,14.5743
464,15.3177
465,14.1514
466,15.3919
467,14.3983
468,15.11
469,14.5918
470,15.0462
471,14.6735
472,15.818
473,14.3776
474,14.2414
475,15.1872
476,14.6218
477,15.0849
478,14.9573
479,15.0352
480,14.378
481,15.1178
482,14.6589
483,15.0652
484,14.6047
485,14.8228
486,14.7381
487,14.9723
488,14.8865
489,14.5953
490,14.7356
491,15.0175
492,15.4232
493,14.3819
494,15.5026
495,14.32
496,14.8728
497,14.5688
498,14.9918
499,14.7827
500,14.6891
501,15.0582
502,14.4768
503,15.3463
504,14.4949
505,14.9886
506,14.7079
507,15.0525
508,15.0322
509,14.6115
510,15.1682
511,14.7543
512,14.6778
513,14.5385
514,15.2578
515,15.0645
516,15.0223
517,14.0903
518,14.6865
519,14.6539
520,14.8291
521,15
522,14.8506
523,14.8592
524,14.8041
525,14.4976
526,15.2949
527,14.9811
528,15.1487
529,14.3417
530,14.9487
531,14.6832
532,15.0776
533,14.4674
534,15.1031
535,14.8416
536,15.151
537,16.3112
538,14.4186
539,14.8138
540,15.1615
541,14.3919
542,15.0914
543,14.8034
544,14.8117
545,14.5676
546,15.3135
547,14.2621
548,14.828
549,15.0675
550,14.6464
551,14.7935
552,14.3779
553,15.3171
554,14.6369
555,15.0383
556,14.3815
557,15.0039
558,14.6442
559,14.3746
560,15.1188
561,15.6243
562,14.7235
563,15.1469
564,14.3654
565,14.5962
566,14.3359
567,14.9827
568,14.6046
569,15.1034
570,14.659
571,15.0885
572,14.6103
573,14.953
574,14.5252
575,15.1543
576,14.2865
577,14.7376
578,15.5348
579,14.0592
580,15.0592
581,15.1833
582,14.155
583,15.04
584,15.182
585,14.6519
586,14.3537
587,14.7844
588,15.1491
589,15.0565
590,14.7383
591,14.388
592,14.8382
593,14.6988
594,15.1979
595,14.655
596,14.7054
597,14.8492
598,15.1439
599,14.5947
600,14.7676
601,14.3399
602,14.6738
603,15.1519
604,14.9208
605,14.8205
606,14.8394
607,14.6254
608,14.3863
609,14.7666
610,14.8562
611,15.1096
612,15.0581
613,15.2233
614,14.0888
615,14.8456
616,15.0929
617,15.2369
618,14.1094
619,14.9294
620,14.5162
621,14.9585
622,14.5579
623,14.9878
624,14.6566
625,14.7932
626,14.8932
627,14.729
628,14.6083
629,14.8507
630,15.4186
631,14.2965
632,15.1071
633,14.9195
634,14.8565
635,15.2004
636,14.4205
637,14.4925
638,15.445
639,14.3648
640,15.1087
641,15.2416
642,14.2227
643,16.0399
644,13.2291
645,15.461
646,14.3245
647,14.2794
648,15.306
649,14.4696
650,14.5678
651,14.8626
652,15.2258
653,14.6735
654,14.3308
