Frame,FPS
0,117.4936
1,280.7806
2,507.4596
3,139.0298
4,636.011
5,59.64487
6,31.25274
7,66.9044
8,61.65685
9,489.1171
10,73.80836
11,62.49336
12,61.60632
13,65.41976
14,66.8208
15,64.17579
16,63.23871
17,32.55632
18,31.19239
19,373.3433
20,80.68811
21,67.69701
22,62.406
23,71.13995
24,348.2258
25,77.49114
26,76.22184
27,64.1079
28,70.63445
29,68.31861
30,68.88096
31,67.41588
32,68.96885
33,65.54068
34,68.3756
35,67.66862
36,66.00835
37,67.65992
38,66.20193
39,67.45954
40,68.25799
41,65.03938
42,66.50528
43,68.59981
44,68.2538
45,67.10734
46,67.77869
47,117.3048
48,219.2021
49,219.9397
50,186.3099
51,211.1932
52,182.4818
53,187.7229
54,225.21
55,180.6228
56,221.4496
57,203.4547
58,208.9646
59,175.8984
60,219.3993
61,197.7653
62,215.1787
63,180.9595
64,218.5363
65,188.4695
66,207.6757
67,188.5974
68,230.5794
69,192.3706
70,199.4296
71,202.1999
72,198.0983
73,206.7953
74,194.2087
75,203.4257
76,189.4011
77,164.8098
78,268.3483
79,193.2591
80,184.3624
81,221.8574
82,197.9845
83,208.8817
84,189.3401
85,195.1219
86,208.0256
87,203.4133
88,204.8005
89,180.9365
90,216.9009
91,193.9262
92,217.9409
93,196.8698
94,208.7857
95,189.2935
96,212.0486
97,193.3563
98,200.3647
99,191.0439
100,212.3052
101,203.4547
102,192.1673
103,188.0831
104,224.0244
105,187.8993
106,213.2242
107,206.9622
108,169.9466
109,226.0398
110,210.1414
111,205.5583
112,198.4363
113,203.4961
114,196.4328
115,192.027
116,206.3813
117,211.815
118,185.5632
119,198.8823
120,197.1414
121,201.7716
122,211.6626
123,199.8162
124,209.3452
125,85.19411
126,67.46591
127,64.80167
128,67.84306
129,68.91134
130,66.28794
131,68.73656
132,65.61981
133,67.5256
134,65.49474
135,66.98238
136,65.32745
137,71.26263
138,64.27479
139,68.9679
140,64.70566
141,69.15295
142,66.9344
143,67.0412
144,65.02119
145,61.40997
146,70.71786
147,68.14588
148,64.69561
149,70.78393
150,63.35329
151,68.99931
152,65.16483
153,73.56836
154,62.84328
155,70.2484
156,67.73645
157,66.75345
158,66.25368
159,66.0079
160,67.00167
161,65.88744
162,67.83801
163,67.81224
164,67.88129
165,64.57529
166,70.00105
167,63.96848
168,67.23051
169,65.9022
